Titel,Bereich,Soll-Knoten,Schutzklasse,Status,Anmerkung
Soll-Struktur-Gesamtdokumentation,A-Werkzeug/Bauplan,G-Governance,intern,Draft,
Wissens-Pipeline-Repo-zu-DB,A-Werkzeug/Bauplan,F-Wissen,intern,Draft,
Konsolidierung-und-Migrationsmatrix,A-Werkzeug/Bauplan,G-Governance,intern,Draft,
Schreib-und-Qualitaetsrichtlinie-G7,A-Werkzeug/Bauplan,G-Governance,intern,Draft,
IP-Schutz-Konzept-G8,A-Werkzeug/Bauplan,G-Governance,vertraulich,Draft,
Regelwerk-Dokumenten-Abbildung-ID-Vergabe,A-Werkzeug/Bauplan,G-Governance,intern,Draft,
Kapitel-4a-IHK-und-Einstiegsgeld-Pfad,B-Wissen,A-Gründung,intern,Draft,
Use-Case-Uebersicht-und-Referenzprojekte,B-Wissen,A-Gründung,intern,Draft,
Kapitel-3a-Finanzplan-Szenarien,B-Wissen,A-Gründung,vertraulich,Draft,
Businessplan-1.0.0-rc,B-Wissen,A-Gründung,intern,Review,
Wissen-Rechercheergebnisse-konsolidiert,B-Wissen,F-Wissen,intern,Draft,
Meetings-und-Besprechungsorganisation,B-Wissen,G-Governance,intern,Draft,
Rechercheauftrag-Perplexity,B-Wissen,F-Wissen,intern,Stable,
Kapitel-6b-Standards-und-Governance,B-Wissen,G-Governance,intern,Draft,
23-Prompting-Framework-Drei-Schichten,B-Wissen,F-Wissen,vertraulich,Draft,
Kapitel-6a-Delivery-Methodik-KI-Softwareentwicklung,B-Wissen,D-Prozesse,intern,Draft,
Domain-Registrierung-Neural-Automatix,C-Betrieb,C-Struktur,intern,Draft,
Agenda-PC-Session-Framework-Repo,C-Betrieb,E-Agentic,intern,Draft,
Artefakt-Inventar-Session,C-Betrieb,G-Governance,intern,Draft,
Logo-Vorgaben-Neural-Automatix,C-Betrieb,C-Struktur,intern,Draft,
Rueckblick-Fahrplan-Session,C-Betrieb,G-Governance,intern,Draft,
